,Country Name,2017,2016,2015,2014,2013,2012,2011,2010,2005,2000,1995,1990,Group
0,United Kingdom,39720.44343,40412.03362,44305.55463,46783.46922,42724.06788,41790.77914,41412.349239999996,38893.018489999995,41732.64054,27982.355760000002,23013.45882,19095.467,High Development
1,France,38476.658639999994,36870.21913,36613.37522,43008.65257,42592.95152,40874.71596,43790.7354,40638.334,34760.18777,22364.02939,26890.21988,21690.629119999998,High Development
2,Japan,38428.09732,38972.340639999995,34567.74568,38109.412110000005,40454.44746,48603.47665,48167.99727,44507.67639,37217.64873,38532.04088,43440.36787,25359.347019999997,High Development
3,Turkey,10546.152559999999,10862.726429999999,10984.80288,12127.461459999999,12542.72093,11720.31301,11340.82227,10672.40036,7384.259106999999,4316.561103,2897.870208,2794.353551,Medium Development
4,Mexico,8910.333177,8450.494009999999,9298.242878000001,10582.41053,10400.56316,9940.468561,9912.582362000001,9016.457927,8089.409036,6959.388717,3828.7170229999997,3060.6852129999997,Medium Development
5,Thailand,6595.004125,5979.293546,5846.394608,5953.793928,6168.394881,5859.887643999999,5491.159981,5075.302176,2893.651356,2007.5648260000003,2845.410314,1508.285774,Medium Development
6,Philippines,2988.952703,2950.913903,2878.33837,2842.938353,2760.289146,2581.818548,2352.518156,2129.4992469999997,1194.697116,1038.911018,1061.347868,715.3105853,Low Development
7,"Egypt, Arab Rep.",2412.727082,3479.281246,3547.7130119999997,3327.754247,3213.389158,3181.441708,2747.4803269999998,2602.4795489999997,1168.115231,1428.183004,944.2019116,748.6022672,Low Development
8,Vietnam,2342.2440030000002,2170.648054,2065.1690989999997,2012.0462899999998,1871.325491,1722.6839309999998,1515.479925,1310.370273,683.5968038999999,388.27053860000007,275.750619,94.88019767,Low Development
